,Participant,protocol,device,D,ID,W,tau,Dtau,sigma0,Omega,C,rsq
0,201272.0,pvp,mouse,64.6,5.631436930520657,1.33,0.3,18.91552846172816,9.998380965542076,1.81562686834641,3.146480751991848,0.969628165766575
1,201272.0,pvp,mouse,133.0,6.6582114827517955,1.33,0.26,45.81584863378608,15.767462201319338,1.3930156216193479,5.499550308843758,0.9754558011603184
2,201272.0,pvp,mouse,110.2,6.389861771052448,1.33,0.22,51.468715285309514,12.692149360230106,1.3134206866522142,5.329337939555736,0.9870575033048123
3,201272.0,pvp,mouse,19.0,3.9341120643435428,1.33,0.22,5.6413940459632475,5.226874572665534,1.773651417220496,2.3492024287216706,0.9184878277143591
4,201272.0,pvp,controller,41.8,5.01919356523331,1.33,1.08,14.439779393372932,10.901608490940744,4.3748247693478195,1.6516199952045336,0.9910697873149863
5,201272.0,pvp,controller,110.2,6.389861771052448,1.33,0.88,59.093686871750485,18.960198870943856,6.62414384843849,1.1420458006240644,0.9395885394544014
6,201272.0,pvp,controller,133.0,6.6582114827517955,1.33,1.69,43.435018230346756,17.4767222297638,6.4197863898222955,1.4126333803653908,0.9633787159918374
7,201272.0,pvp,controller,87.4,6.0599238176520585,1.33,0.63,59.85274489618663,17.982246826845323,6.243543810775513,1.1349213819352364,0.9533406138070791
8,201272.0,pvp,controller,19.0,3.9341120643435428,1.33,0.8300000000000001,6.891495910329435,5.449726683818406,4.367236244040252,1.1534292932958858,0.9980071824120547
9,201272.0,pvp,controller,64.6,5.631436930520657,1.33,1.3800000000000001,18.29596503653419,15.475026844000146,5.552769258576553,1.5013140873943782,0.9836180125735213
10,201272.0,pvp,touchpad,133.0,6.6582114827517955,1.33,0.17,64.73016801635723,25.025046331752797,2.59830841055207,2.9441148684481773,0.9436722765118122
11,201272.0,pvp,touchpad,41.8,5.01919356523331,1.33,0.35000000000000003,15.145196671473364,8.56150828947207,2.0755228723291292,2.6529392544063204,0.8283683920726038
12,201272.0,pvp,touchpad,19.0,3.9341120643435428,1.33,0.13,9.468141581872377,2.162438221451372,0.9344617024299738,2.8544895370765913,0.9398160527268893
13,201272.0,pvp,touchpad,110.2,6.389861771052448,1.33,0.13,59.068778548042914,15.556753379080433,2.493649541303995,2.3669284986086288,0.9315827799869587
14,201272.0,pvp,touchpad,87.4,6.0599238176520585,1.33,0.46,21.587818759525494,17.245671065442355,1.6069552378737746,5.156859662791543,0.9715855829036654
15,201272.0,pvp,touchpad,64.6,5.631436930520657,1.33,0.24,20.768572339734234,12.388579253725219,1.5539917997245878,4.163419110537285,0.9507950848593156
16,201272.0,fitts,touchpad,110.2,3.7958592832197744,8.55,0.59,29.33873831968193,24.191701237264365,0.7390922733910333,1.726244589933323,0.9678908481443623
17,201272.0,fitts,touchpad,41.8,2.938599455335857,6.2700000000000005,0.72,3.718087590185834,8.590774787010982,1.362312727116051,6.1913095916777054,0.9560685356972165
18,201272.0,fitts,touchpad,133.0,6.6582114827517955,1.33,0.3,44.13782986848336,24.905051520708287,2.1092413287947087,3.273282070192845,0.9444582733628866
19,201272.0,fitts,touchpad,19.0,1.3856536924977498,11.78,0.19,5.634929633451141,2.384499693771051,0.5811189159376047,2.364939461545392,0.9838623915820407
20,201272.0,fitts,touchpad,87.4,4.655954332292595,3.61,0.51,26.44291995997722,11.178018738398292,1.3454679375115521,4.744319325077415,0.9476887736181832
21,201272.0,fitts,touchpad,64.6,5.27715822476734,1.71,0.21,30.039793267819277,11.40855426633339,1.5902258802219427,3.451820473788695,0.9753448478924429
