,Participant,protocol,device,D,ID,W,tau,Dtau,sigma0,Omega,C,rsq
0,587783.0,pvp,mouse,19.0,3.9341120643435428,1.33,0.28,8.525242085876378,7.460263471387003,1.4965518914919558,4.212309800991799,0.9683067669864419
1,587783.0,pvp,mouse,41.8,5.01919356523331,1.33,0.26,19.577859430036753,8.21517635446915,1.6871955590309657,4.128967391579896,0.9779122449582643
2,587783.0,pvp,mouse,87.4,6.0599238176520585,1.33,0.27,42.429835196287044,14.135293103427346,1.5227721351571368,4.792941241379571,0.9768453172690832
3,587783.0,pvp,mouse,64.6,5.631436930520657,1.33,0.29,23.40073101874244,16.71735989869705,1.6050594830619969,4.626875394932046,0.9842154733199413
4,587783.0,pvp,mouse,110.2,6.389861771052448,1.33,0.28,50.598982868788866,22.768520750947523,1.6848565205869896,4.518497239373685,0.9837813761557359
5,587783.0,pvp,mouse,133.0,6.6582114827517955,1.33,0.26,79.87842993904675,20.450893887133052,1.665654238818954,4.154410543310214,0.9703502433678002
6,587783.0,pvp,touchpad,41.8,5.01919356523331,1.33,0.43,26.725049790933404,11.514288696213393,1.9323495988158383,3.4647747414916847,0.940255411462213
7,587783.0,pvp,touchpad,19.0,3.9341120643435428,1.33,0.4,11.583924374873604,5.311960032319004,1.3830088123085678,3.8852460732470915,0.9635524480169548
8,587783.0,pvp,touchpad,133.0,6.6582114827517955,1.33,0.36,58.97087728180725,38.591912660312786,1.9241651518539333,4.421043033907197,0.9824870738159314
9,587783.0,pvp,touchpad,87.4,6.0599238176520585,1.33,0.34,49.803183290102545,25.646347840715666,1.6640223280907367,5.169857175636038,0.9799514111212169
10,587783.0,pvp,touchpad,64.6,5.631436930520657,1.33,0.34,35.507425972057284,20.840956032607842,1.71447401594737,4.977214347162291,0.9652628737831743
11,587783.0,pvp,touchpad,110.2,6.389861771052448,1.33,0.35000000000000003,56.999630289017716,38.96619608844714,1.9163653253883752,4.651051820930566,0.9908304216471773
12,587783.0,fitts,controller,87.4,4.655954332292595,3.61,1.08,22.350779187680295,23.695910241067345,3.5375336751995645,1.9110487357149994,0.9184611972336636
13,587783.0,fitts,controller,41.8,2.938599455335857,6.2700000000000005,0.76,18.192766611199605,14.000731534695914,2.266268707650471,2.329262880644518,0.985319152093018
14,587783.0,fitts,controller,133.0,6.6582114827517955,1.33,1.08,27.346496077409814,22.958890651340987,4.035518376082152,1.8974412971117005,0.9768498135176359
15,587783.0,fitts,controller,64.6,5.27715822476734,1.71,0.78,32.59632793129636,18.656647360873496,3.438795358841392,2.154030118485457,0.9907332942715426
16,587783.0,fitts,controller,110.2,3.7958592832197744,8.55,0.86,31.8539816645514,24.121479302253288,2.527405231010751,2.612394294536038,0.9416833809728044
17,587783.0,fitts,controller,19.0,1.3856536924977498,11.78,0.45,8.175223466403365,7.320113548397595,1.615551479098994,1.5375105444937858,0.9887888626727473
18,587783.0,pvp,controller,19.0,3.9341120643435428,1.33,0.8200000000000001,8.28534573558344,5.858414174159638,3.5471662927507523,1.768934512756531,0.9895637000422354
19,587783.0,pvp,controller,110.2,6.389861771052448,1.33,1.3,30.75302220617495,24.53065524957733,4.247843354412145,2.37078831667819,0.9713396202726103
20,587783.0,pvp,controller,41.8,5.01919356523331,1.33,0.71,20.34044658418039,13.681487957114252,2.8921159710832884,2.802928823549844,0.9938467856777344
21,587783.0,pvp,controller,133.0,6.6582114827517955,1.33,0.9500000000000001,51.38184936333852,30.419234904216314,4.2810878531855625,2.0218400950048205,0.9808475365335432
22,587783.0,pvp,controller,87.4,6.0599238176520585,1.33,0.86,28.317194993461214,22.058469166448713,3.761385821390778,2.0483889874634085,0.9772404402640968
23,587783.0,pvp,controller,64.6,5.631436930520657,1.33,0.86,28.428031501176385,20.26045986021578,4.392764341151066,1.6204073406115245,0.9433359153805617
24,587783.0,fitts,touchpad,110.2,3.7958592832197744,8.55,0.33,42.79520102121379,29.35278330562699,1.4819317422313496,4.3141892055946816,0.9891698241358383
25,587783.0,fitts,touchpad,41.8,2.938599455335857,6.2700000000000005,0.26,24.1756351182001,8.269397560024977,0.8886173900884691,4.985641751423127,0.9609128534080542
26,587783.0,fitts,touchpad,87.4,4.655954332292595,3.61,0.3,50.695405134558115,22.358710802817292,1.7844666469335508,3.6695401987041625,0.9678965271085391
27,587783.0,fitts,touchpad,64.6,5.27715822476734,1.71,0.27,34.983051836384604,11.41453943101136,1.4357261281327025,4.385144652995364,0.9686163427875546
