,Participant,protocol,device,D,ID,W,tau,Dtau,sigma0,Omega,C,rsq
0,795009.0,pvp,mouse,19.0,3.9341120643435428,1.33,0.28,8.594494829614337,5.134755818254008,1.3266731367211697,4.817216584271792,0.9879133052745878
1,795009.0,pvp,mouse,41.8,5.01919356523331,1.33,0.28,22.25168930172273,8.868307955283766,1.2224388141215417,6.100097573411414,0.9732013980289175
2,795009.0,pvp,mouse,110.2,6.389861771052448,1.33,0.39,18.331502212254403,13.881037564560508,1.3043403927814397,6.77750147472131,0.9951030177677038
3,795009.0,pvp,mouse,64.6,5.631436930520657,1.33,0.27,39.8631087458768,12.404760890079848,1.3145792557365779,5.5662305521832005,0.9873014899156517
4,795009.0,pvp,mouse,87.4,6.0599238176520585,1.33,0.28,44.62906372726155,15.720537135977438,1.8742967634833425,3.8290870332826943,0.989945863736071
5,795009.0,pvp,mouse,133.0,6.6582114827517955,1.33,0.27,74.77469519264196,18.008894346731918,1.3176257477100282,6.361661757127853,0.9945899004119133
6,795009.0,pvp,touchpad,87.4,6.0599238176520585,1.33,0.37,54.89175931107168,22.680982454535663,1.6960821562757218,4.702134391516886,0.9874224548795046
7,795009.0,pvp,touchpad,110.2,6.389861771052448,1.33,0.37,52.901938253563095,32.16532497792658,1.5847904675671876,5.843101579703917,0.9787253040293143
8,795009.0,pvp,touchpad,41.8,5.01919356523331,1.33,0.36,29.333972496221996,11.289050486056347,1.3856231884228958,5.92184610236873,0.9753676194017
9,795009.0,pvp,touchpad,133.0,6.6582114827517955,1.33,0.37,45.91245313428659,46.833741993695206,1.6588725364975296,5.9643867443580865,0.983043973802651
10,795009.0,pvp,touchpad,19.0,3.9341120643435428,1.33,0.39,11.231179654313276,5.066748266173462,1.222068761732213,4.774854086446894,0.9794821780386183
11,795009.0,pvp,touchpad,64.6,5.631436930520657,1.33,0.37,35.609761790918085,20.179403771574357,1.3924526571900673,6.071589441413667,0.9822890185423063
12,795009.0,fitts,controller,133.0,6.6582114827517955,1.33,1.03,12.473008418453889,11.45430184281047,3.013206721545671,2.1746575135605806,0.9912003046663229
13,795009.0,fitts,controller,41.8,2.938599455335857,6.2700000000000005,0.46,16.392362776743546,10.07717964056043,2.4008251607653417,1.517180868106346,0.9301776151841643
14,795009.0,fitts,controller,110.2,3.7958592832197744,8.55,0.6900000000000001,30.413630231203616,12.372221101649428,1.9664363208455442,2.4432773494610056,0.9781169323850717
15,795009.0,fitts,controller,87.4,4.655954332292595,3.61,0.6,37.85921225620464,12.694900997823542,2.2734935628037922,2.0714828803788508,0.9799670766423737
16,795009.0,fitts,controller,19.0,1.3856536924977498,11.78,0.53,2.4430386363661434,9.217100769278158,1.1167141231729945,2.397880699937626,0.985374281950613
17,795009.0,fitts,controller,64.6,5.27715822476734,1.71,0.6,26.51875318408181,14.57878701356825,2.6158476914032733,2.3253448535771364,0.9422023976322644
18,795009.0,pvp,controller,41.8,5.01919356523331,1.33,0.6,16.19470253332269,13.836094320145445,2.4017140546314613,3.0180283953592166,0.9922954277388388
19,795009.0,pvp,controller,133.0,6.6582114827517955,1.33,1.03,14.4592512075298,13.377828306119463,3.0635048587974154,2.384191331150264,0.9690947862253473
20,795009.0,pvp,controller,110.2,6.389861771052448,1.33,0.78,24.058810724247923,16.362574811266608,3.275683169642651,2.2929444761173836,0.9641799635308137
21,795009.0,pvp,controller,19.0,3.9341120643435428,1.33,0.53,9.789847463688382,3.6009482621693354,2.168257314346672,2.3215716892326306,0.9749033170175575
22,795009.0,pvp,controller,87.4,6.0599238176520585,1.33,0.77,22.104561060303993,18.397881316879133,2.4868096830735777,3.0411658224261844,0.9674834871012882
23,795009.0,pvp,controller,64.6,5.631436930520657,1.33,0.61,24.922458775115725,12.704978193733186,3.341845715805493,2.031963286092377,0.9883821345655959
24,795009.0,fitts,touchpad,87.4,4.655954332292595,3.61,0.33,30.65869653473909,26.405936121064762,1.207095573271889,6.740268689944822,0.9676457608051405
25,795009.0,fitts,touchpad,19.0,1.3856536924977498,11.78,0.22,8.240785593914032,2.1231647636440045,0.3963999188730404,5.174217926932478,0.9701128980503998
26,795009.0,fitts,touchpad,133.0,6.6582114827517955,1.33,0.36,46.66562646457049,35.952416363634356,1.476035205172356,6.5144314237982135,0.973971594588555
27,795009.0,fitts,touchpad,110.2,3.7958592832197744,8.55,0.35000000000000003,45.63672017326546,34.16141268469286,1.1155090959665053,5.378286748389367,0.9705009776127677
28,795009.0,fitts,touchpad,64.6,5.27715822476734,1.71,0.35000000000000003,22.089143854712464,17.06202334913072,1.0559410071172954,7.231281333181331,0.9724763355488154
29,795009.0,fitts,touchpad,41.8,2.938599455335857,6.2700000000000005,0.27,22.65549798380969,12.030127795067289,0.5760501903898944,10.55458813737118,0.9930185700647379
30,795009.0,fitts,mouse,110.2,3.7958592832197744,8.55,0.22,52.79561451087941,12.832528856568668,0.8037969479037037,3.3833696666301014,0.9645544624840696
31,795009.0,fitts,mouse,133.0,6.6582114827517955,1.33,0.23,75.84781621487419,14.334913006735885,1.0930954791948102,6.362905347508171,0.9913489042865664
32,795009.0,fitts,mouse,87.4,4.655954332292595,3.61,0.2,45.68498532564157,12.546925121056756,0.7816248858935477,5.128505403240029,0.938326081840286
33,795009.0,fitts,mouse,64.6,5.27715822476734,1.71,0.22,27.669682838501206,10.921797217397101,1.085134994612528,5.934106495441497,0.9890369409375614
34,795009.0,fitts,mouse,19.0,1.3856536924977498,11.78,0.16,7.4829757437762865,4.276278437229344,0.29380239141557907,3.593248865510839,0.9121058182946338
