,Participant,protocol,device,D,ID,W,tau,Dtau,sigma0,Omega,C,rsq
0,179477.0,fitts,controller,133.0,6.6582114827517955,1.33,2.33,-0.8671476651040646,46.89964136921319,3.574388799401438,0.17355468397430604,0.9133832884310494
1,179477.0,fitts,controller,19.0,1.3856536924977498,11.78,0.86,3.4672970415233033,9.715988408455939,1.4972180487605247,1.418162886491662,0.994745381662619
2,179477.0,fitts,controller,41.8,2.938599455335857,6.2700000000000005,0.9500000000000001,2.14167510643085,14.75848921503262,3.3186722164565983,1.1106632190769994,0.9425651172806826
3,179477.0,fitts,controller,87.4,4.655954332292595,3.61,1.35,13.970741702005638,24.035305452650707,4.79414752439205,1.1775803588312652,0.9730977897287965
4,179477.0,fitts,controller,64.6,5.27715822476734,1.71,1.09,20.293821818746256,22.817809435937363,4.013098214729188,1.5956603174901542,0.9827657811420869
5,179477.0,fitts,controller,110.2,3.7958592832197744,8.55,1.07,27.350520853692853,35.28171935062909,3.5116993018925804,1.6175993636891357,0.9812223730094638
6,179477.0,pvp,mouse,41.8,5.01919356523331,1.33,0.36,28.245151447958854,8.789427416393524,2.602497993750028,2.215096587581841,0.9806939160091305
7,179477.0,pvp,mouse,19.0,3.9341120643435428,1.33,0.65,2.9393924607122712,5.405618564485262,1.7959249578824759,3.726434727297164,0.9505173560369335
8,179477.0,pvp,mouse,64.6,5.631436930520657,1.33,0.4,29.407964865638963,18.974855022101465,1.8937104664944737,3.6227717014236016,0.9219376560008616
9,179477.0,pvp,mouse,110.2,6.389861771052448,1.33,0.32,74.94280739647802,17.44707419094007,1.743597219963705,4.674080951465509,0.9524814783964455
10,179477.0,pvp,mouse,87.4,6.0599238176520585,1.33,0.31,59.89003985595089,11.275253364194153,1.7044439866116683,4.339336275279537,0.9725663384376143
11,179477.0,pvp,mouse,133.0,6.6582114827517955,1.33,0.36,60.26077445046555,13.317862925787487,2.117394766514429,3.771600135526408,0.9703094764003032
12,179477.0,fitts,touchpad,87.4,4.655954332292595,3.61,0.29,45.00666443906378,15.429538385772117,1.2430766237759547,4.163903904391007,0.9877304743037374
13,179477.0,fitts,touchpad,64.6,5.27715822476734,1.71,1.56,8.003087822556923,16.919355496828494,6.235560036468707,0.8535769384999833,0.7121442597721398
14,179477.0,fitts,touchpad,19.0,1.3856536924977498,11.78,0.37,12.081980858404528,3.3018597191128864,0.7400000031158223,3.6292523678979434,0.8070745365520803
15,179477.0,fitts,touchpad,41.8,2.938599455335857,6.2700000000000005,0.35000000000000003,23.962473616224898,7.045561318893663,1.7671282308976863,1.9495299291686072,0.9525211774767627
16,179477.0,fitts,touchpad,110.2,3.7958592832197744,8.55,0.62,46.427936138438454,18.270311363386693,1.7816552102092578,3.263898746067473,0.9783257701027819
17,179477.0,fitts,touchpad,133.0,6.6582114827517955,1.33,0.64,60.72348813466648,32.397084966955035,2.7510970039308504,2.7276275092309095,0.9773899002642402
18,179477.0,pvp,touchpad,64.6,5.631436930520657,1.33,0.4,42.62935601396708,16.518658240421125,3.3959935150808724,1.9744926974999633,0.9724855721363832
19,179477.0,pvp,touchpad,133.0,6.6582114827517955,1.33,0.46,68.8930687406943,34.85546133754002,3.4357165304136004,2.6220637342737367,0.9314157226440842
