,Participant,protocol,device,D,ID,W,tau,Dtau,sigma0,Omega,C,rsq
0,693502.0,fitts,touchpad,133.0,6.6582114827517955,1.33,0.32,48.18061072170389,17.864763037987668,1.6229500785701267,4.775524891447372,0.9706535828720887
1,693502.0,fitts,touchpad,87.4,4.655954332292595,3.61,0.29,29.771926427342507,10.072283132494057,1.2443829510942606,4.786108582829457,0.9801505140543685
2,693502.0,fitts,touchpad,110.2,3.7958592832197744,8.55,0.26,37.83824746763871,19.234331455246423,0.9481453989941964,5.837351862901447,0.9861709335072772
3,693502.0,fitts,touchpad,19.0,1.3856536924977498,11.78,0.22,6.87176516513267,2.036456855174885,0.5173758602977443,1.9768938824556748,0.97156223343024
4,693502.0,fitts,touchpad,64.6,5.27715822476734,1.71,0.31,19.10552080520368,9.213245670139603,1.0648591014302915,6.497536696354588,0.9814275853980127
5,693502.0,fitts,touchpad,41.8,2.938599455335857,6.2700000000000005,0.25,17.149054264749225,4.021909655427048,0.665138555727726,5.816943755748731,0.9582139501512109
6,693502.0,pvp,controller,41.8,5.01919356523331,1.33,0.49,12.886785706697756,7.771339496595605,2.4833495503774192,2.2314826918977575,0.9629222116238334
7,693502.0,pvp,controller,87.4,6.0599238176520585,1.33,0.62,30.435218666244236,11.819605270593204,2.63288532380374,2.582216134845648,0.9804681305896058
8,693502.0,pvp,controller,19.0,3.9341120643435428,1.33,0.53,5.4955221594887895,3.8887622442151084,2.62426602768517,1.6838015750064765,0.9347965768671755
9,693502.0,pvp,controller,133.0,6.6582114827517955,1.33,0.79,27.709673926946966,12.336829887659553,2.7061048656468194,2.6079191137253064,0.9909096946592783
10,693502.0,pvp,controller,110.2,6.389861771052448,1.33,0.61,52.376197435006645,11.686831016951706,2.5727965970413327,2.795250964088133,0.9914157204954954
11,693502.0,pvp,controller,64.6,5.631436930520657,1.33,0.55,14.023595325428937,9.760587021230167,2.639570483543441,2.4537735064865034,0.9903655758033494
12,693502.0,fitts,controller,41.8,2.938599455335857,6.2700000000000005,0.39,13.228787208085768,8.258652006071797,1.5262383659954537,2.401813047985634,0.9798606271323449
13,693502.0,fitts,controller,133.0,6.6582114827517955,1.33,0.74,43.87779004203013,14.309355513801018,2.6640142018547213,2.9600968828596916,0.9935602907762797
14,693502.0,fitts,mouse,87.4,4.655954332292595,3.61,0.31,44.39628458792822,9.301725078734416,1.1175403840525149,5.482784330475204,0.9660318097057792
15,693502.0,fitts,mouse,133.0,6.6582114827517955,1.33,0.34,58.01346216147316,9.676721554168369,1.4040581031857176,4.866999887658508,0.9939711426930539
16,693502.0,fitts,mouse,19.0,1.3856536924977498,11.78,0.24,8.296187944763881,2.7180977767212826,0.5356713906179638,3.153218926880987,0.9935382226072825
17,693502.0,fitts,mouse,110.2,3.7958592832197744,8.55,0.46,25.832671581196905,12.374875917893252,1.2868246617102514,4.8569922917748904,0.9916151947458454
18,693502.0,fitts,mouse,64.6,5.27715822476734,1.71,0.4,18.00765079341306,8.49040409299702,1.177192249722645,6.245613655102523,0.9942827827930939
19,693502.0,fitts,mouse,41.8,2.938599455335857,6.2700000000000005,0.3,19.42073360192556,4.839729446088995,1.0192065506232362,4.188163443470748,0.9852645591394125
20,693502.0,fitts,controller,110.2,3.7958592832197744,8.55,0.61,41.11548633742661,12.02740812567033,1.9447082661994464,2.0619189622592073,0.9420569126474317
21,693502.0,fitts,controller,19.0,1.3856536924977498,11.78,0.45,3.957935420559732,4.9238355374974505,1.0466103025032674,2.237272412081051,0.9638260798933725
22,693502.0,fitts,controller,64.6,5.27715822476734,1.71,0.54,20.8106387597714,12.098455807558864,1.8808832586559152,3.4233302120369444,0.98900006677968
23,693502.0,fitts,controller,87.4,4.655954332292595,3.61,0.47000000000000003,34.73676832824769,13.020239897365062,2.025712028838483,2.914355229564246,0.9656576609622991
24,693502.0,pvp,touchpad,133.0,6.6582114827517955,1.33,0.36,28.024581436072133,30.67964722894411,1.7270550361173678,5.10096477817096,0.9800140871405698
25,693502.0,pvp,touchpad,110.2,6.389861771052448,1.33,0.41000000000000003,14.841046907311474,16.48231478250881,1.5774585687387463,5.59089663827696,0.98058290678182
26,693502.0,pvp,touchpad,41.8,5.01919356523331,1.33,0.37,21.4962151354434,6.683452252767967,1.378217167053006,4.635374921867269,0.993548174264559
27,693502.0,pvp,touchpad,87.4,6.0599238176520585,1.33,0.39,12.648732822203591,12.153170198921572,1.5979068974402715,5.154406830127244,0.9737666319213634
28,693502.0,pvp,touchpad,64.6,5.631436930520657,1.33,0.33,10.949744838632993,8.237534016039161,1.4249527993589908,5.08103473902748,0.9540267073750098
29,693502.0,pvp,touchpad,19.0,3.9341120643435428,1.33,0.35000000000000003,5.978679518239222,3.3269558258004115,1.3180044932096704,3.661731335137463,0.9765321753774214
30,693502.0,pvp,mouse,110.2,6.389861771052448,1.33,0.36,26.7795721422361,15.181171226918178,1.393974732828041,5.953261370405375,0.9799916152038085
31,693502.0,pvp,mouse,19.0,3.9341120643435428,1.33,0.39,2.115200927133781,3.9450763011444154,1.293732301559158,4.041251508274812,0.9824681366570098
32,693502.0,pvp,mouse,133.0,6.6582114827517955,1.33,0.35000000000000003,52.011533104123,9.996132368532026,1.5042561455169756,4.895769544595982,0.990604816555103
33,693502.0,pvp,mouse,87.4,6.0599238176520585,1.33,0.32,42.26304670252801,9.725741765571739,1.4736037564896975,4.724640551406192,0.9750593033549966
34,693502.0,pvp,mouse,41.8,5.01919356523331,1.33,0.31,18.5852620382582,4.9937652948380515,1.382534327792557,4.0368820822490825,0.9897678021781817
35,693502.0,pvp,mouse,64.6,5.631436930520657,1.33,0.32,25.48240496499198,7.575031813951502,1.4629155070425586,4.570538911040762,0.9783515290093112
