,Participant,protocol,device,D,ID,W,tau,Dtau,sigma0,Omega,C,rsq
0,693502.0,fitts,touchpad,133.0,6.6582114827517955,1.33,0.31,61.092917368862544,31.456140681763845,1.6071295273045623,5.218916853145368,0.9696268730134402
1,693502.0,fitts,touchpad,87.4,4.655954332292595,3.61,0.28,34.89592418208789,19.859382988145956,1.2451811934811647,5.396622665502652,0.9765616480899567
2,693502.0,fitts,touchpad,110.2,3.7958592832197744,8.55,0.26,37.83824746763871,34.243724089440924,0.952521645660104,6.1539544152570045,0.9857319751966827
3,693502.0,fitts,touchpad,19.0,1.3856536924977498,11.78,0.21,8.223653323060242,3.7942290228085884,0.49863246903337255,3.2125318459807617,0.9929694005807673
4,693502.0,fitts,touchpad,64.6,5.27715822476734,1.71,0.31,19.10552080520368,20.430573575525393,1.0662268014562857,6.92747338888347,0.9810310272456226
5,693502.0,fitts,touchpad,41.8,2.938599455335857,6.2700000000000005,0.22,24.360730535744846,7.284052371490748,0.6778904294161638,6.147931016333998,0.9547375941192552
6,693502.0,pvp,controller,41.8,5.01919356523331,1.33,0.51,11.006294375920996,13.07268097973836,2.453612832250503,2.3559159596289296,0.9510645419120588
7,693502.0,pvp,controller,87.4,6.0599238176520585,1.33,0.62,30.435218666244236,16.55426427010787,2.616887752412309,2.584198151304075,0.9796322147438281
8,693502.0,pvp,controller,19.0,3.9341120643435428,1.33,0.5,6.835571757257781,6.588327780879527,2.414246091440038,1.88107788397098,0.9328245221780467
9,693502.0,pvp,controller,133.0,6.6582114827517955,1.33,0.79,27.709673926946966,17.2367017150474,2.736256196576919,2.5897348175012773,0.989150027223857
10,693502.0,pvp,controller,110.2,6.389861771052448,1.33,0.68,41.71581753872086,17.405878256459587,2.5848311590253426,2.8066907564507453,0.9920419052762387
11,693502.0,pvp,controller,64.6,5.631436930520657,1.33,0.54,15.775391959460855,13.71085775231098,2.6699976980468025,2.42555672717878,0.9883841708321949
12,693502.0,fitts,controller,41.8,2.938599455335857,6.2700000000000005,0.39,13.228787208085768,11.811135397214219,1.5475901955977442,2.346672118371907,0.9814020283323293
13,693502.0,fitts,controller,133.0,6.6582114827517955,1.33,0.79,34.46161818681882,20.21199905785092,2.656521213513542,3.0274093640584736,0.9926939857289454
14,693502.0,fitts,mouse,87.4,4.655954332292595,3.61,0.3,49.51016796959156,16.257248539088906,1.1379438561076929,5.441313316650037,0.95481892910791
15,693502.0,fitts,mouse,133.0,6.6582114827517955,1.33,0.33,65.81690195506478,16.699015661111346,1.3926421625265815,5.093432312402028,0.9956230416544924
16,693502.0,fitts,mouse,19.0,1.3856536924977498,11.78,0.23,9.768779634610766,4.6856282384179275,0.5324639034808427,2.7838839128020227,0.9543880907280929
17,693502.0,fitts,mouse,110.2,3.7958592832197744,8.55,0.37,52.537095102003,24.27209033961096,1.2678223167741929,5.083117958398102,0.9943485261926361
18,693502.0,fitts,mouse,64.6,5.27715822476734,1.71,0.37,27.75880837929586,13.515683863836497,1.2123538915426648,5.942807616403548,0.9924972123472691
19,693502.0,fitts,mouse,41.8,2.938599455335857,6.2700000000000005,0.29,22.2308028334113,8.425948192318637,1.0319297281019493,4.327644215643321,0.9767419714085527
20,693502.0,fitts,controller,110.2,3.7958592832197744,8.55,0.62,39.304657757042165,16.89116252949308,1.924378935975397,2.098698982680444,0.9362082665165243
21,693502.0,fitts,controller,19.0,1.3856536924977498,11.78,0.47000000000000003,3.475682449084156,7.542727010079209,1.2973141851437566,1.450039423526329,0.9380990636033913
22,693502.0,fitts,controller,64.6,5.27715822476734,1.71,0.53,21.96844471240502,17.602090536203814,1.924690118780725,3.2906667491897132,0.9838156681861218
23,693502.0,fitts,controller,87.4,4.655954332292595,3.61,0.48,32.423719793219455,18.237506232106444,2.064323968393628,2.8269760723134962,0.9520501260117832
24,693502.0,pvp,touchpad,133.0,6.6582114827517955,1.33,0.36,28.024581436072133,58.093748548589204,1.7648456143504667,5.0493197825366885,0.9684309852496458
25,693502.0,pvp,touchpad,110.2,6.389861771052448,1.33,0.42,14.598691557084425,30.010390025641662,1.5636952295561999,5.857771736522458,0.983806171220169
26,693502.0,pvp,touchpad,41.8,5.01919356523331,1.33,0.37,21.4962151354434,13.953093727444273,1.372097974739987,5.1734198619535094,0.9874274109078992
27,693502.0,pvp,touchpad,87.4,6.0599238176520585,1.33,0.3,42.5523242280976,19.552572060726845,1.6019388766806333,5.069365589690417,0.9701584127213643
28,693502.0,pvp,touchpad,64.6,5.631436930520657,1.33,0.29,29.561607230333305,14.931097505226905,1.3370263002817269,5.587974340560106,0.9657394876144199
29,693502.0,pvp,touchpad,19.0,3.9341120643435428,1.33,0.35000000000000003,5.978679518239222,5.313678311098058,1.2852958556611964,3.945951799882453,0.9886848381875784
30,693502.0,pvp,mouse,110.2,6.389861771052448,1.33,0.35000000000000003,31.55995623512812,21.744459880111442,1.407034352195992,5.90094878761576,0.9767423700243485
31,693502.0,pvp,mouse,19.0,3.9341120643435428,1.33,0.33,4.542402770172468,8.310197486732413,1.2981104355051594,4.506159878912844,0.9894238526411656
32,693502.0,pvp,mouse,133.0,6.6582114827517955,1.33,0.3,85.1735875588897,19.204689207691086,1.5045745061157398,5.057295440261918,0.9908260743328701
33,693502.0,pvp,mouse,87.4,6.0599238176520585,1.33,0.31,45.88017928464512,18.931510017436775,1.4350110955186341,4.998228127538523,0.9812343268405229
34,693502.0,pvp,mouse,41.8,5.01919356523331,1.33,0.29,25.59938027611062,9.06199947765381,1.3674760618039907,4.1474385979755235,0.9921512354897584
35,693502.0,pvp,mouse,64.6,5.631436930520657,1.33,0.31,29.76715528556958,13.18228937690265,1.4472360349454096,4.8234358842937315,0.9854695823067953
