,Participant,protocol,device,D,ID,W,tau,Dtau,sigma0,Omega,C,rsq
0,201272.0,pvp,mouse,64.6,5.631436930520657,1.33,0.55,16.004690722561918,6.8284479218996355,1.9545125832050452,2.915474484932471,0.9495438036585173
1,201272.0,pvp,mouse,133.0,6.6582114827517955,1.33,0.32,89.22694392788765,13.510026369661695,1.5345754102195932,5.007676475828218,0.9837944856554683
2,201272.0,pvp,mouse,110.2,6.389861771052448,1.33,0.31,74.60183982406836,11.373931184832882,1.5860811442436127,4.549421476672748,0.9789328497744593
3,201272.0,pvp,mouse,19.0,3.9341120643435428,1.33,0.42,5.617672942135256,2.94715749649472,1.436093777262769,3.333900101566218,0.9411214998907067
4,201272.0,pvp,controller,41.8,5.01919356523331,1.33,1.54,16.749199649047075,5.6106609250353285,5.2041150041075355,1.206512746745642,0.9903893984758156
5,201272.0,pvp,controller,110.2,6.389861771052448,1.33,1.29,58.17735014531997,12.04632888199582,8.147216331860072,0.7873773879082968,0.9419655780780563
6,201272.0,pvp,controller,133.0,6.6582114827517955,1.33,1.97,51.022347263646104,12.072987428785472,7.014377452835347,1.1477120694848155,0.9781163329829168
7,201272.0,pvp,controller,87.4,6.0599238176520585,1.33,0.97,63.425805870358786,8.56988597619987,6.384506936629626,0.9645789477433522,0.9755523606971171
8,201272.0,pvp,controller,19.0,3.9341120643435428,1.33,0.96,10.97791340296281,3.898747729715957,4.757727764041752,0.9429803994239476,0.9925535766425547
9,201272.0,pvp,controller,64.6,5.631436930520657,1.33,1.46,29.953285315145774,7.272586067913744,5.94383072275452,1.0478738473710245,0.960020994277643
10,201272.0,pvp,touchpad,133.0,6.6582114827517955,1.33,0.42,84.33559994776233,14.367133940358038,2.424933558605021,2.858311922934123,0.9823398808095481
11,201272.0,pvp,touchpad,41.8,5.01919356523331,1.33,0.44,24.038016722414014,5.455302701296029,2.1956837866157057,2.6587538659832326,0.9215677801786438
12,201272.0,pvp,touchpad,19.0,3.9341120643435428,1.33,0.45,11.132385087651448,2.1967185795588238,1.2442035971410528,3.1248895937605212,0.9686593321980796
13,201272.0,pvp,touchpad,110.2,6.389861771052448,1.33,0.44,64.0875900785207,14.443933901302348,2.5352415123608005,2.6193632930574173,0.969417892384756
14,201272.0,pvp,touchpad,87.4,6.0599238176520585,1.33,0.48,39.51182037723003,10.338544891249482,1.9734261586076984,3.742079888020261,0.9746637869134434
15,201272.0,pvp,touchpad,64.6,5.631436930520657,1.33,0.42,38.24430555550395,9.384294664371824,1.804114180481921,3.7339362164623604,0.9631294696374938
16,201272.0,fitts,touchpad,110.2,3.7958592832197744,8.55,1.02,21.51063362654091,10.259004847757637,1.4642138456184117,2.4243519332950108,0.9703218437663694
17,201272.0,fitts,touchpad,41.8,2.938599455335857,6.2700000000000005,0.53,15.741743296221392,3.859143558696393,1.6980110847675052,2.265181436849957,0.9123458976469179
18,201272.0,fitts,touchpad,133.0,6.6582114827517955,1.33,0.5,36.673350195992484,13.282064096163815,2.2168143181521427,3.003082075568409,0.9828698478198564
19,201272.0,fitts,touchpad,19.0,1.3856536924977498,11.78,0.37,6.900008467439255,3.2682961589775847,0.8462723523780483,3.824043885237893,0.9862446455588825
20,201272.0,fitts,touchpad,87.4,4.655954332292595,3.61,0.43,41.14856450011352,9.240176926187264,1.6136003217114687,3.308535955187979,0.9698498435327564
21,201272.0,fitts,touchpad,64.6,5.27715822476734,1.71,0.36,37.67516719715702,6.070868642438225,1.7264537985029556,2.8325184425537,0.9775393850135836
